,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Bengkulu,100,ID,1580354402,47,-3.8,102.27,84.54,5.46
1,George Town,20,MY,1580354131,66,5.41,100.34,86.0,6.93
2,Demba,100,CD,1580354404,98,-5.51,22.27,69.37,2.62
3,Banjar,75,ID,1580354405,84,-8.19,114.97,87.8,11.41
4,Tasiilaq,91,GL,1580354406,68,65.61,-37.64,28.4,31.09
5,Eureka,90,US,1580354245,87,40.8,-124.16,55.0,5.82
6,Vaini,75,TO,1580354409,79,-21.2,-175.2,86.0,5.82
7,Esmeraldas,100,BR,1580354262,94,-19.76,-44.31,73.4,2.24
8,Albany,1,US,1580354411,62,42.6,-73.97,25.0,11.41
9,Praia,0,CV,1580354412,64,14.92,-23.51,69.8,4.7
10,Port-Gentil,71,GA,1580354413,80,-0.72,8.78,82.71,9.75
11,Mar del Plata,5,AR,1580354414,87,-38.0,-57.56,61.0,4.7
12,Vila Velha,20,BR,1580354416,88,-20.33,-40.29,79.0,6.93
13,Atuona,0,PF,1580354417,77,-9.8,-139.03,80.92,14.61
14,Victor Harbor,0,AU,1580354418,4,-35.57,138.62,107.01,13.87
15,Tuatapere,34,NZ,1580354419,47,-46.13,167.68,67.71,10.8
16,Lokosovo,7,RU,1580354420,97,61.13,74.82,-23.6,5.91
17,Lebu,2,CL,1580354421,85,-37.62,-73.65,49.23,4.29
18,Iquique,0,CL,1580354422,60,-20.22,-70.14,75.2,10.29
19,Londoko,0,RU,1580354423,75,49.03,131.98,11.75,2.98
20,Bluff,100,NZ,1580354424,54,-46.6,168.33,66.42,8.99
21,Lakes Entrance,0,AU,1580354426,22,-37.88,147.98,102.0,10.0
22,Marang,20,MY,1580354427,78,5.21,103.21,82.4,3.36
23,Atambua,87,ID,1580354428,68,-9.11,124.89,84.7,7.05
24,Busselton,66,AU,1580354429,31,-33.65,115.33,75.99,15.28
25,Punta Arenas,20,CL,1580354430,71,-53.15,-70.92,51.8,32.21
26,Ushuaia,90,AR,1580354175,70,-54.8,-68.3,46.4,17.22
27,Pemangkat,94,ID,1580354433,81,1.17,108.97,81.75,9.95
28,Katsuura,20,JP,1580354434,48,35.13,140.3,61.0,12.75
29,Yiyang,0,CN,1580354435,55,28.59,112.33,51.46,3.98
30,Pangnirtung,100,CA,1580354436,74,66.15,-65.71,-16.58,1.79
31,Upernavik,78,GL,1580354437,92,72.79,-56.15,-14.1,4.7
32,East London,75,ZA,1580354438,100,-33.02,27.91,66.2,1.12
33,Hilo,90,US,1580354439,65,19.73,-155.09,78.8,13.87
34,Lata,75,PT,1580354441,87,40.16,-8.33,57.0,5.82
35,Yar-Sale,85,RU,1580354442,95,66.83,70.83,-16.2,10.76
36,Abrau-Dyurso,75,RU,1580354443,80,44.69,37.59,39.2,2.24
37,Sungairaya,10,ID,1580354444,67,0.7,108.9,85.87,7.07
38,Castro,100,BR,1580354445,98,-24.79,-50.01,66.25,2.39
39,Port Elizabeth,51,ZA,1580354446,82,-33.92,25.57,62.6,3.36
40,Pec,75,XK,1580354447,80,42.66,20.29,30.2,3.36
41,Saint George,1,US,1580354393,36,37.1,-113.58,48.2,14.99
42,Khanbari,69,NP,1580354450,71,27.37,87.2,34.81,1.66
43,Kahului,40,US,1580354274,54,20.89,-156.47,82.4,9.17
44,Loa Janan,99,ID,1580354452,61,-0.58,117.09,88.56,4.32
45,Vao,0,NC,1580354453,73,-22.67,167.48,77.07,14.52
46,Yulara,40,AU,1580354454,49,-25.24,130.99,89.6,13.87
47,Simao,0,CN,1580354455,53,22.79,100.97,60.64,2.06
48,Staryy Nadym,90,RU,1580354456,96,65.61,72.68,-14.71,12.44
49,New Norfolk,0,AU,1580354457,13,-42.78,147.06,95.0,13.87
50,Tobermory,100,CA,1580354458,87,45.25,-81.67,5.0,3.8
51,Mataura,70,NZ,1580354460,48,-46.19,168.86,68.61,21.65
52,Tomatlan,84,MX,1580354461,94,19.93,-105.25,64.99,1.28
53,Limbang,75,MY,1580354462,74,4.75,115.0,84.2,11.41
54,Ugoofaaru,66,MV,1580354463,72,5.67,73.0,80.85,11.86
55,Soyo,100,AO,1580354464,87,-6.13,12.37,79.07,1.36
56,Port Alfred,100,ZA,1580354465,88,-33.59,26.89,66.99,5.88
57,Bud,90,US,1580354466,74,39.45,-86.18,34.0,4.7
58,Barrow,1,US,1580354467,82,71.29,-156.79,-25.6,9.17
59,Hasaki,20,JP,1580354468,58,35.73,140.83,60.8,6.93
60,Semirom,34,IR,1580354469,98,31.42,51.57,12.67,3.33
61,Mahebourg,40,MU,1580354470,94,-20.41,57.7,73.99,4.7
62,Kapaa,75,US,1580354472,61,22.08,-159.32,78.8,10.29
63,Pevek,100,RU,1580354473,97,69.7,170.31,-18.47,6.91
64,Ambilobe,100,MG,1580354474,91,-13.2,49.05,76.84,5.06
65,Hofn,0,IS,1580354475,62,64.25,-15.21,37.29,5.73
66,Saint-Louis,0,SN,1580354477,15,16.33,-15.0,78.15,13.24
67,Prieska,0,ZA,1580354478,39,-29.66,22.75,67.5,6.85
68,Dikson,78,RU,1580354479,98,73.51,80.55,-17.27,7.02
69,Undory,90,RU,1580354480,92,54.61,48.39,19.4,11.18
70,Qaanaaq,100,GL,1580354482,95,77.48,-69.36,-19.32,1.34
71,Marrakesh,98,MA,1580354382,61,31.63,-8.01,46.4,4.7
72,Faya,5,SA,1580354484,93,18.39,42.45,50.0,2.98
73,Cienfuegos,8,CU,1580354485,78,22.15,-80.44,77.0,5.82
74,Pisco,100,PE,1580354486,88,-13.7,-76.22,73.4,11.41
75,Tilichiki,100,RU,1580354487,78,60.47,166.1,14.9,4.45
76,Khatanga,92,RU,1580354488,98,71.97,102.5,-15.86,2.62
77,Sai Buri,20,TH,1580354489,70,6.7,101.62,84.2,8.05
78,Bambous Virieux,40,MU,1580354490,94,-20.34,57.76,73.99,4.7
79,Brasilia de Minas,96,BR,1580354288,93,-16.21,-44.43,69.3,3.44
80,Kaitangata,100,NZ,1580354493,42,-46.28,169.85,70.0,11.01
81,Hobart,0,AU,1580354418,13,-42.88,147.33,95.0,18.34
82,Algiers,20,DZ,1580354403,93,36.75,3.04,44.6,3.36
83,Pasni,31,PK,1580354496,33,25.26,63.47,55.67,4.47
84,Isangel,75,VU,1580354497,78,-19.55,169.27,82.4,13.87
85,Cockburn Town,0,TC,1580354498,66,21.46,-71.14,77.59,3.89
86,Samarinda,99,ID,1580354499,61,-0.5,117.15,88.56,4.32
87,Ponta do Sol,20,PT,1580354500,72,32.67,-17.1,59.0,4.7
88,Ilulissat,18,GL,1580354502,64,69.22,-51.1,-2.2,4.7
89,Vila Franca do Campo,75,PT,1580354503,93,37.72,-25.43,62.6,12.75
90,Salalah,81,OM,1580354504,52,17.02,54.09,64.4,2.24
91,Grindavik,0,IS,1580354505,72,63.84,-22.43,32.0,16.11
92,Lompoc,1,US,1580354506,71,34.64,-120.46,57.99,5.82
93,Paka,40,MY,1580354507,78,4.64,103.44,82.4,3.36
94,Rikitea,100,PF,1580354508,72,-23.12,-134.97,79.39,6.96
95,Iqaluit,90,CA,1580354220,76,63.75,-68.51,-5.01,3.36
96,Ponta Delgada,75,PT,1580354510,93,37.73,-25.67,62.6,12.75
97,Airai,33,TL,1580354511,59,-8.93,125.41,83.88,3.33
98,Hithadhoo,67,MV,1580354466,78,-0.6,73.08,81.25,14.72
99,Ribeira Grande,100,PT,1580354514,91,38.52,-28.7,60.78,18.37
100,Laguna,1,US,1580354404,71,38.42,-121.42,59.0,5.23
101,Beni,94,CD,1580354516,70,0.5,29.47,68.56,3.38
102,Along,99,IN,1580354517,61,28.17,94.77,53.46,2.35
103,Chui,0,UY,1580354518,85,-33.7,-53.46,68.76,7.09
104,Kieta,99,PG,1580354519,65,-6.22,155.63,87.55,7.72
105,Fortuna,90,US,1580354520,81,40.6,-124.16,54.0,2.04
106,Darhan,84,MN,1580354521,91,49.49,105.92,8.15,2.44
107,Klaksvik,76,FO,1580354522,70,62.23,-6.59,33.8,2.24
108,Tungor,0,RU,1580354524,91,53.38,142.96,0.37,8.32
109,Yellowknife,90,CA,1580354525,92,62.46,-114.35,17.6,5.82
110,Great Yarmouth,73,GB,1580354526,81,52.61,1.73,46.4,16.11
111,Codrington,0,AU,1580354521,44,-38.27,141.97,76.53,8.48
112,Poum,0,NC,1580354528,77,-20.23,164.02,78.78,16.37
113,Manoel Urbano,66,BR,1580354529,97,-8.84,-69.26,71.13,1.48
114,Carballo,87,ES,1580354531,82,43.21,-8.69,59.0,24.16
115,Ukiah,1,US,1580354234,71,39.15,-123.21,55.0,4.68
116,Mersing,100,MY,1580354533,80,2.43,103.84,80.55,14.18
117,Kodiak,90,US,1580354534,79,57.79,-152.41,19.4,5.82
118,Luwuk,60,ID,1580354536,69,-0.95,122.79,84.45,3.11
119,Hualmay,98,PE,1580354537,78,-11.1,-77.61,71.24,3.89
120,Sheregesh,99,RU,1580354538,97,52.92,87.99,-4.18,3.56
121,Norman Wells,75,CA,1580354539,67,65.28,-126.83,-22.0,12.75
122,Puerto Ayora,52,EC,1580354540,25,-0.74,-90.35,77.0,1.01
123,Bambanglipuro,100,ID,1580354541,94,-7.95,110.28,75.6,9.22
124,Borjomi,89,GE,1580354542,65,41.85,43.41,30.24,6.89
125,Saint-Augustin,100,CA,1580354543,82,51.23,-58.65,11.01,15.9
126,Severo-Kuril'sk,100,RU,1580354544,85,50.68,156.12,23.07,1.36
127,Zhigansk,100,RU,1580354536,92,66.77,123.37,-11.02,11.1
128,Camrose,75,CA,1580354546,86,53.02,-112.84,32.0,6.93
129,Vardo,100,NO,1580354548,66,70.37,31.11,21.72,21.7
130,Puerto Penasco,0,MX,1580354456,34,31.32,-113.53,64.0,3.0
131,Kavaratti,40,IN,1580354550,69,10.57,72.64,82.4,4.7
132,Bera,48,BD,1580354551,60,24.08,89.62,70.77,6.44
133,Talnakh,75,RU,1580354509,75,69.49,88.4,-16.6,6.71
134,Cape Town,20,ZA,1580354337,68,-33.93,18.42,66.0,16.11
135,Souillac,40,MU,1580354554,94,-20.52,57.52,73.99,4.7
136,Dongobesh,100,TZ,1580354555,99,-4.07,35.38,56.89,0.81
137,Kendari,74,ID,1580354556,71,-3.94,122.5,86.41,5.01
138,Ahipara,0,NZ,1580354545,64,-35.17,173.17,86.0,1.99
139,Nuuk,0,GL,1580354559,71,64.18,-51.72,6.8,8.05
140,San Policarpo,100,PH,1580354560,72,12.18,125.51,81.32,6.53
141,Panguipulli,35,CL,1580354561,87,-39.63,-72.33,48.99,3.36
142,Touros,20,BR,1580354321,78,-5.2,-35.46,80.6,4.7
143,Agia Galini,40,GR,1580354563,87,35.1,24.68,60.01,3.36
144,Tuktoyaktuk,90,CA,1580354564,75,69.45,-133.04,-20.2,14.99
145,Hobyo,95,SO,1580354565,76,5.35,48.53,72.3,13.53
146,Coolum Beach,0,AU,1580354568,66,-26.53,153.1,91.99,1.99
147,Hirara,40,JP,1580354569,51,24.8,125.28,62.6,14.99
148,Srednekolymsk,51,RU,1580354570,80,67.45,153.68,-22.47,6.35
149,Bredasdorp,100,ZA,1580354502,72,-34.53,20.04,64.4,13.78
150,Veraval,0,IN,1580354573,40,20.9,70.37,60.19,10.98
151,Cherskiy,98,RU,1580354522,96,68.75,161.3,-24.88,7.52
152,Chokurdakh,100,RU,1580354575,97,70.63,147.92,-14.89,8.72
153,Novonikolayevskiy,100,RU,1580354576,97,50.97,42.36,36.0,4.0
154,Butaritari,60,KI,1580354577,73,3.07,172.79,84.92,8.16
